"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.782047271E2,3.211433892E1,1.189505576E2,1.799449288E1,1.325416088E0,1.554816742E2,4.699999809E0,4.699999809E0
1.791941067E2,3.211432427E1,1.189505625E2,1.796430495E1,1.314491153E0,1.722168884E2,4.699999809E0,4.699999809E0
1.801889078E2,3.211431366E1,1.189505663E2,1.828602298E1,1.312201858E0,1.684092255E2,4.699999809E0,4.699999809E0
1.811970640E2,3.211430209E1,1.189505706E2,1.842168614E1,1.420468450E0,1.582568512E2,4.699999809E0,4.699999809E0
1.822011838E2,3.211428883E1,1.189505750E2,1.821058804E1,1.455062747E0,1.487449188E2,4.699999809E0,4.699999809E0
1.832027672E2,3.211427425E1,1.189505862E2,1.799666699E1,1.426854849E0,1.322642212E2,4.947175026E0,4.947175026E0
1.841907234E2,3.211426099E1,1.189506010E2,1.777791013E1,1.581937313E0,1.169087830E2,4.999997616E0,4.999997616E0
1.851884354E2,3.211425003E1,1.189506177E2,1.768896767E1,1.532349586E0,1.106401672E2,4.699999809E0,4.699999809E0
1.861884213E2,3.211424123E1,1.189506370E2,1.749271178E1,1.596168756E0,1.073538055E2,4.699999809E0,4.699999809E0
1.871886557E2,3.211423469E1,1.189506545E2,1.724966034E1,1.518833399E0,1.130353546E2,4.699999809E0,4.699999809E0
1.882076620E2,3.211422713E1,1.189506742E2,1.717624657E1,1.536690474E0,1.095639801E2,4.699999809E0,4.699999809E0
1.891900922E2,3.211421942E1,1.189506921E2,1.719883088E1,1.494667768E0,1.205728149E2,4.699999809E0,4.699999809E0
1.901979557E2,3.211421181E1,1.189507079E2,1.710020941E1,1.458103538E0,1.343294983E2,4.699999809E0,4.699999809E0
1.911908916E2,3.211420438E1,1.189507250E2,1.709860707E1,1.485386372E0,1.230561066E2,4.699999809E0,4.699999809E0
1.921920000E2,3.211419770E1,1.189507433E2,1.694697684E1,1.501579881E0,1.014255981E2,4.699999809E0,4.699999809E0
1.931960843E2,3.211419145E1,1.189507617E2,1.726252331E1,1.512462139E0,1.159541931E2,4.699999809E0,4.699999809E0
1.941929672E2,3.211418413E1,1.189507775E2,1.752120703E1,1.469082713E0,1.167617035E2,4.699999809E0,4.699999809E0
1.951887510E2,3.211417530E1,1.189507932E2,1.776489293E1,1.491846681E0,1.008074951E2,4.699999809E0,4.699999809E0
1.962010771E2,3.211416875E1,1.189508081E2,1.791509146E1,1.506686687E0,1.048806152E2,4.699999809E0,4.699999809E0
1.972004172E2,3.211416463E1,1.189508228E2,1.800195982E1,1.528680563E0,9.574517822E1,4.699999809E0,4.699999809E0
1.981904203E2,3.211416275E1,1.189508367E2,1.784116231E1,1.468109846E0,9.618615723E1,4.699999809E0,4.699999809E0
1.992049661E2,3.211416210E1,1.189508472E2,1.770941738E1,1.316715002E0,1.016476135E2,4.699999809E0,4.699999809E0
2.002016265E2,3.211416433E1,1.189508586E2,1.752070017E1,1.307621837E0,9.723937988E1,4.699999809E0,4.699999809E0
2.012092338E2,3.211416663E1,1.189508709E2,1.723025864E1,1.319500446E0,1.029913940E2,4.699999809E0,4.699999809E0
2.021906672E2,3.211417211E1,1.189508848E2,1.716985946E1,1.350681663E0,9.827081299E1,4.699999809E0,4.699999809E0
2.031949265E2,3.211417650E1,1.189508977E2,1.691879065E1,1.032905936E0,9.615386963E1,4.699999809E0,4.699999809E0
2.041894979E2,3.211418075E1,1.189509105E2,1.679086962E1,1.090494752E0,8.194171906E1,4.699999809E0,4.699999809E0
2.051880692E2,3.211418580E1,1.189509223E2,1.664723634E1,1.281115413E0,8.332934570E1,4.699999809E0,4.699999809E0
2.062020791E2,3.211419169E1,1.189509346E2,1.650637379E1,1.262550473E0,7.975576019E1,4.699999809E0,4.699999809E0
2.071933510E2,3.211419676E1,1.189509475E2,1.622212128E1,1.263798833E0,8.182914734E1,4.699999809E0,4.699999809E0
2.081901338E2,3.211420257E1,1.189509631E2,1.587328573E1,1.445134640E0,8.257160950E1,4.699999809E0,4.699999809E0
